x,y,z,min_size,max_size,cell,mother
9.66187816434707,53.05863823880501,-0.24945580852546337,26.0,39.0,ABarpapppp,ABarpappp
21.219393811429644,45.1701615580055,-0.5023908983700026,30.0,73.0,ABarpp,ABarp
-4.638302888696581,42.392827904101544,-0.592866945734311,34.0,59.0,ABarppa,ABarpp
-9.640461075819397,35.43565193191818,-0.7918557951008429,33.0,59.0,ABarppaa,ABarppa
-2.701694856834647,3.293533541989539,-1.7219323002127302,28.0,45.0,ABarppaaa,ABarppaa
6.399271326740233,7.720817725984499,-3.6094629310325863,24.0,37.0,ABarppaaaa,ABarppaaa
25.59927132674023,11.120817725984498,-3.4227962643659198,24.0,38.0,ABarppaaap,ABarppaaa
29.41028906716974,0.8017701069368782,-1.947729348710769,24.0,48.0,ABarppaap,ABarppaa
40.552040504586806,1.6107042068926503,-3.0109535857740144,24.0,38.0,ABarppaapa,ABarppaap
65.51798477703264,-1.7081812420237585,-2.6614179820588446,26.0,38.0,ABarppaapp,ABarppaap
24.165083292552197,28.810561315728087,-1.1733660649357198,28.0,56.0,ABarppap,ABarppa
51.605380387830834,-8.01768165900935,-1.87263089604557,26.0,47.0,ABarppapa,ABarppap
38.2427786895247,-10.378379061164097,-2.821154140314157,26.0,36.0,ABarppapaa,ABarppapa
64.9576381272757,-13.133399141485386,-2.3404312487478913,26.0,38.0,ABarppapap,ABarppapa
89.79732236150012,-2.049947795413936,-1.1731894061514665,29.0,47.0,ABarppapp,ABarppap
85.96491091590923,-2.3494903972648005,-2.473779768878836,26.0,36.0,ABarppappa,ABarppapp
113.56154957137143,-0.7738601451639602,-1.2725192646771548,26.0,36.0,ABarppappp,ABarppapp
40.6055731509525,37.49046946727803,-0.45671279283468674,34.0,59.0,ABarppp,ABarpp
38.583631230121874,36.27770178395551,-0.6931988408554525,32.0,55.0,ABarpppa,ABarppp
18.412823028731243,36.2358466277186,-0.9998504283564995,28.0,48.0,ABarpppaa,ABarpppa
9.97704910451801,21.25415105931783,-3.0911758939955494,24.0,36.0,ABarpppaaa,ABarpppaa
30.765243548962456,23.83401217042894,-2.327981449551105,26.0,38.0,ABarpppaap,ABarpppaa
47.04038951499218,31.416571441483434,-1.050062128956625,26.0,48.0,ABarpppap,ABarpppa
41.653636406105306,21.54879391646069,-2.8244100209796765,24.0,38.0,ABarpppapa,ABarpppap
71.14173164420055,26.709508202174977,-2.018755259074914,24.0,38.0,ABarpppapp,ABarpppap
72.35586315172584,33.9942201439465,-1.1316083925562856,31.0,55.0,ABarpppp,ABarppp
66.94375818000572,33.509240117842005,-0.8525997701617914,26.0,47.0,ABarppppa,ABarpppp
50.926524995503335,28.879937222839843,-1.4898682420039344,26.0,38.0,ABarppppaa,ABarppppa
81.06614763701276,26.079937222839842,-0.921188996720916,26.0,38.0,ABarppppap,ABarppppa
105.93279298399071,34.629857274007094,-0.4161170427714436,28.0,47.0,ABarppppp,ABarpppp
100.336222231133,25.73864718334884,-1.3543380386983912,26.0,37.0,ABarpppppa,ABarppppp
130.59978812260584,22.55260067172093,-0.16170237978366264,26.0,36.0,ABarpppppp,ABarppppp
13.624392099687087,17.870093088303342,0.4513663765358517,38.0,96.0,ABp,AB
2.3127978967885414,0.9715423636656558,-1.443923478536612,46.0,87.0,ABpl,ABp
-55.55438364401999,17.390115971598533,-1.2069288179721571,38.0,78.0,ABpla,ABpl
-75.84517311770422,27.513571349172906,-0.6979814495511047,30.0,73.0,ABplaa,ABpla
-85.49334830018597,23.134929648125617,-0.5228719605000097,34.0,60.0,ABplaaa,ABplaa
-106.51106907146143,7.8447098261771755,-0.13058260562046883,34.0,56.0,ABplaaaa,ABplaaa
-101.54641535372905,-18.051231963456498,-0.9805694412695313,26.0,50.0,ABplaaaaa,ABplaaaa
-98.1418397843709,-16.81584894068217,-1.0736481162177716,26.0,38.0,ABplaaaaaa,ABplaaaaa
-75.25517311770423,-19.679182274015503,-1.2956481162177709,30.0,40.0,ABplaaaaap,ABplaaaaa
-76.43896326759716,-12.55919654953299,-1.2140628200007841,25.0,50.0,ABplaaaap,ABplaaaa
-55.13757818099536,-10.634034594690608,-1.839373854614396,24.0,39.0,ABplaaaapa,ABplaaaap
-35.07745159871687,-8.830237126336177,-1.7222852470194592,26.0,39.0,ABplaaaapp,ABplaaaap
-71.8129697278737,16.683529590391277,-1.0279814495511046,34.0,56.0,ABplaaap,ABplaaa
-48.3160392594365,-15.03849985931734,-1.041564126716459,26.0,48.0,ABplaaapa,ABplaaap
-40.505472743172376,-18.803901375139098,-0.9324758315735767,24.0,38.0,ABplaaapaa,ABplaaapa
-25.269517686992604,-22.328245944427486,-1.2781687154687076,26.0,38.0,ABplaaapap,ABplaaapa
-21.711389333920426,-10.734587679420908,-1.4809093774790325,28.0,48.0,ABplaaapp,ABplaaap
-9.008012996858291,-22.773542797681163,-1.0524527486447603,26.0,38.0,ABplaaappa,ABplaaapp
8.137002108881891,-21.24484189133675,-1.2929361323305604,26.0,40.0,ABplaaappp,ABplaaapp
-64.99232140667759,5.437294278582724,-0.8553578754066178,34.0,62.0,ABplaap,ABplaa
-94.9908874034185,-1.149658464491692,-0.6082671638368192,28.0,56.0,ABplaapa,ABplaap
-88.50466678859028,-20.72053248498595,-1.0752388335173493,28.0,51.0,ABplaapaa,ABplaapa
-93.19454020631181,-26.21631307570327,-1.1507662596776869,26.0,39.0,ABplaapaaa,ABplaapaa
-73.22618577593207,-29.922009278234913,-1.4637409432219903,26.0,40.0,ABplaapaap,ABplaapaa
-53.77541069869774,-22.36823914946547,-1.192992248687174,27.0,51.0,ABplaapap,ABplaapa
