Parent Cell,parent_x,parent_y,parent_z,Daughter 1,Daughter 2,Birth Time
ABalppappp,303.68028495,225.3431932625,14.60046487375,IL2VL,ABalppapppa,285
ABalppapppa,243.43977776,220.29555556,11.4443,IL1VL,ABalppapppap,410
ABalpppaaa,220.9052029125,226.905042975,15.30700893,AVEL,OLQshVL,315
ABalpppaap,231.9203245875,226.2306738125,15.58593103625,OLLshL,ABalpppaapv,320
ABalpppapa,244.7220788875,223.5516999875,15.17732461125,RMDL,AFDL,305
ABalpppapp,263.880262875,223.0403707625,15.37460801625,ABalpppappa,ABalpppappp,285
ABalpppappp,196.80086206,134.9952299,17.434051724,ASKL,ABalpppapppp,375
ABalppppaa,246.5925635875,232.6381989,15.29343594875,ABalppppaav,ADLL,290
ABalppppap,266.66214655,231.2042489125,15.536253715,ABalppppapp,ABalppppapa,300
ABalppppapa,205.552328783333,201.120785083333,17.6089969116667,ABalppppapap,OLLL,410
ABalpppppa,283.703285242857,232.200038985714,15.1822972942857,ADFL,AWBL,280
ABalpppppp,312.5437453125,227.115562925,15.38889913125,ABalppppppp,ABalppppppa,255
ABalppppppa,270.982220585714,220.959500057143,15.6683119385714,ABalppppppap,ASEL,342
ABalppppppp,294.813380942857,212.266354257143,15.9057028114286,AUAL,ASJL,342
