Parent,Daughter 1,Daughter 2,Birth Time
V6Rppp,hyp7,V6Rpppp,2330.0
V6Rpap,hyp7,V6Rpapp,2330.0
V6Lpap,V6Lpapp,hyp7,2330.0
H1Lap,H1Lapp,hyp7,2360.0
H1Rap,H1Rapp,hyp7,2360.0
Z4apa,Z4apap,Z4apaa,2420.0
Z1pap,Z1papa,Z1papp,2420.0
Z4app,gon herm dish P,Z4appa,2450.0
Z4pa,Z4paa,gon herm dish P,2450.0
Z1paa,gon herm dish A,Z1paap,2450.0
Z1ap,gon herm dish A,Z1app,2450.0
Z4apaa,Z4apaap,Z4apaaa,2480.0
Z1ppa,Z1ppaa,Z1ppap,2480.0
Z4aap,Z4aapp,Z4aapa,2480.0
Z4aaa,Z4aaaa,Z4aaap,2480.0
Z4apap,Z4apapp,Z4apapa,2480.0
Z1papa,Z1papaa,Z1papap,2510.0
Z1papp,Z1pappp,Z1pappa,2510.0
